sentence_id	sentence	yomi	monophone
011	軽妙洒脱なナレーションから情緒感溢れる語りまで幅広い表現力を持つ	ケイミョーシャダツナナレーションカラジョーチョカンアフレルカタリマデハバヒロイヒョーゲンリョクヲモツ	k/e,i,my/o:,sh/a,d/a,ts/u,n/a,n/a,r/e:,sh/o,N,k/a,r/a,j/o:,ch/o,k/a,N,a,f/u,r/e,r/u,k/a,t/a,r/i,m/a,d/e,h/a,b/a,h/i,r/o,i,hy/o:,g/e,N,ry/o,k/u,o,m/o,ts/u
012	構造は鋼製の単一アーチで橋脚は石積みである	コーゾーワハガネセイノタンイツアーチデキョーキャクワイシツミデアル	k/o:,z/o:,w/a,h/a,g/a,n/e,s/e,i,n/o,t/a,N,i,ts/u,a:,ch/i,d/e,ky/o:,ky/a,k/u,w/a,i,sh/i,ts/u,m/i,d/e,a,r/u
013	そこへオーナーが新しいシェフとして腕利きのヒョヌクを招く	ソコエオーナーガアタラシイシェフトシテウデキキノヒョヌクヲマネク	s/o,k/o,e,o:,n/a:,g/a,a,t/a,r/a,sh/i,i,sh/e,f/u,t/o,sh/i,t/e,u,d/e,k/i,k/i,n/o,hy/o,n/u,k/u,o,m/a,n/e,k/u
014	クィーンズアベニューアルファに所属している	クィーンズアベニューアルファニショゾクシテイル	k/u,i:,N,z/u,a,b/e,ny/u:,a,r/u,f/a,n/i,sh/o,z/o,k/u,sh/i,t/e,i,r/u
015	一方で漁業と商業でリャネス港は繁栄していた	イッポーデギョギョートショーギョーデリャネスコーワハンエイシテイタ	i,q,p/o:,d/e,gy/o,gy/o:,t/o,sh/o:,gy/o:,d/e,ry/a,n/e,s/u,k/o:,w/a,h/a,N,e,i,sh/i,t/e,i,t/a
016	このニューサウスウェールズ代表チームがワラビーズの中核となって行く	コノニューサウスウェールズダイヒョーチームガワラビーズノチューカクトナッテイク	k/o,n/o,ny/u:,s/a,u,s/u,w/e:,r/u,z/u,d/a,i,hy/o:,ch/i:,m/u,g/a,w/a,r/a,b/i:,z/u,n/o,ch/u:,k/a,k/u,t/o,n/a,q,t/e,i,k/u
017	ただしギャンブル依存症の入院治療を行っている病院はわずかである	タダシギャンブルイゾンショーノニューインチリョーヲオコナッテイルビョーインワワズカデアル	t/a,d/a,sh/i,gy/a,N,b/u,r/u,i,z/o,N,sh/o:,n/o,ny/u:,i,N,ch/i,ry/o:,o,o,k/o,n/a,q,t/e,i,r/u,by/o:,i,N,w/a,w/a,z/u,k/a,d/e,a,r/u
018	他のメジャーなディストリビューションに比べセキュリティー上の問題の修正が遅い場合もある	タノメジャーナディストリビューションニクラベセキュリティージョーノモンダイノシューセイガオソイバアイモアル	t/a,n/o,m/e,j/a:,n/a,d/i,s/u,t/o,r/i,by/u:,sh/o,N,n/i,k/u,r/a,b/e,s/e,ky/u,r/i,t/i:,j/o:,n/o,m/o,N,d/a,i,n/o,sh/u:,s/e,i,g/a,o,s/o,i,b/a,a,i,m/o,a,r/u
019	ベルガートーア前のヴェディゲンウーファーパークには戦争と弾圧の犠牲者のための記念碑が建っている	ベルガートーアマエノヴェディゲンウーファーパークニワセンソートダンアツノギセイシャノタメノキネンヒガタッテイル	b/e,r/u,g/a:,t/o:,a,m/a,e,n/o,b/e,d/i,g/e,N,u:,f/a:,p/a:,k/u,n/i,w/a,s/e,N,s/o:,t/o,d/a,N,a,ts/u,n/o,g/i,s/e,i,sh/a,n/o,t/a,m/e,n/o,k/i,n/e,N,h/i,g/a,t/a,q,t/e,i,r/u
020	全米パブリッシャーズ協会のベストストラテジーゲームオブザイヤーを日本人として受賞	ゼンベイパブリッシャーズキョーカイノベストストラテジーゲームオブザイヤーヲニホンジントシテジュショー	z/e,N,b/e,i,p/a,b/u,r/i,q,sh/a:,z/u,ky/o:,k/a,i,n/o,b/e,s/u,t/o,s/u,t/o,r/a,t/e,j/i:,g/e:,m/u,o,b/u,z/a,i,y/a:,o,n/i,h/o,N,j/i,N,t/o,sh/i,t/e,j/u,sh/o:
021	痛みは点滴より鎮痛薬を静脈投与することで鎮痛を行う	イタミワテンテキヨリチンツーヤクヲジョーミャクトーヨスルコトデチンツーヲオコナウ	i,t/a,m/i,w/a,t/e,N,t/e,k/i,y/o,r/i,ch/i,N,ts/u:,y/a,k/u,o,j/o:,my/a,k/u,t/o:,y/o,s/u,r/u,k/o,t/o,d/e,ch/i,N,ts/u:,o,o,k/o,n/a,u
022	このときに浮遊大陸プルヴァマにある中立国ビュエルバがある情報筋からバッシュ将軍の処刑と前王女アーシェの自害を発表	コノトキニフユータイリクプルヴァマニアルチューリツコクビュエルバガアルジョーホースジカラバッシュショーグンノショケイトゼンオージョアーシェノジガイヲハッピョー	k/o,n/o,t/o,k/i,n/i,f/u,y/u:,t/a,i,r/i,k/u,p/u,r/u,b/a,m/a,n/i,a,r/u,ch/u:,r/i,ts/u,k/o,k/u,by/u,e,r/u,b/a,g/a,a,r/u,j/o:,h/o:,s/u,j/i,k/a,r/a,b/a,q,sh/u,sh/o:,g/u,N,n/o,sh/o,k/e,i,t/o,z/e,N,o:,j/o,a:,sh/e,n/o,j/i,g/a,i,o,h/a,q,py/o:
023	南西部ウォーレンはベイアーマンファームズとフィッツジェラルドの地区で構成される	ナンセイブウォーレンワベイアーマンファームズトフィッツジェラルドノチクデコーセイサレル	n/a,N,s/e,i,b/u,w/o:,r/e,N,w/a,b/e,i,a:,m/a,N,f/a:,m/u,z/u,t/o,f/i,q,ts/u,j/e,r/a,r/u,d/o,n/o,ch/i,k/u,d/e,k/o:,s/e,i,s/a,r/e,r/u
024	このためプラズマ中のイオンや電子の持つ平均運動エネルギーを温度で表現することがある	コノタメプラズマチューノイオンヤデンシノモツヘイキンウンドーエネルギーヲオンドデヒョーゲンスルコトガアル	k/o,n/o,t/a,m/e,p/u,r/a,z/u,m/a,ch/u:,n/o,i,o,N,y/a,d/e,N,sh/i,n/o,m/o,ts/u,h/e,i,k/i,N,u,N,d/o:,e,n/e,r/u,g/i:,o,o,N,d/o,d/e,hy/o:,g/e,N,s/u,r/u,k/o,t/o,g/a,a,r/u
025	その飄々とした人柄が老若男女に慕われている	ソノヒョーヒョートシタヒトガラガローニャクナンニョニシタワレテイル	s/o,n/o,hy/o:,hy/o:,t/o,sh/i,t/a,h/i,t/o,g/a,r/a,g/a,r/o:,ny/a,k/u,n/a,N,ny/o,n/i,sh/i,t/a,w/a,r/e,t/e,i,r/u
026	現在ニュージャージー州ムーアズタウンに住んでいる	ゲンザイニュージャージーシュームーアズタウンニスンデイル	g/e,N,z/a,i,ny/u:,j/a:,j/i:,sh/u:,m/u:,a,z/u,t/a,u,N,n/i,s/u,N,d/e,i,r/u
027	町域にあった三根山藩は長岡藩に米百俵を送ったことで有名	チョウイキニアッタミネヤマハンワナガオカハンニコメヒャッピョーヲオクッタコトデユーメイ	ch/o,u,i,k/i,n/i,a,q,t/a,m/i,n/e,y/a,m/a,h/a,N,w/a,n/a,g/a,o,k/a,h/a,N,n/i,k/o,m/e,hy/a,q,py/o:,o,o,k/u,q,t/a,k/o,t/o,d/e,y/u:,m/e,i
028	このときペリメーデーはアムピクトリュオーンに同行してテーバイに来ていたリキュムニオスに妻としてあたえられた	コノトキペリメーデーワアムピクトリュオーンニドーコーシテテーバイニキテイタリキュムニオスニツマトシテアタエラレタ	k/o,n/o,t/o,k/i,p/e,r/i,m/e:,d/e:,w/a,a,m/u,p/i,k/u,t/o,ry/u,o:,N,n/i,d/o:,k/o:,sh/i,t/e,t/e:,b/a,i,n/i,k/i,t/e,i,t/a,r/i,ky/u,m/u,n/i,o,s/u,n/i,ts/u,m/a,t/o,sh/i,t/e,a,t/a,e,r/a,r/e,t/a
029	現在の滑走を目的としたスキーブーツは硬いプラスチックシェルと柔らかいインナーブーツからなる	ゲンザイノカッソーヲモクテキトシタスキーブーツワカタイプラスチックシェルトヤワラカイインナーブーツカラナル	g/e,N,z/a,i,n/o,k/a,q,s/o:,o,m/o,k/u,t/e,k/i,t/o,sh/i,t/a,s/u,k/i:,b/u:,ts/u,w/a,k/a,t/a,i,p/u,r/a,s/u,ch/i,q,k/u,sh/e,r/u,t/o,y/a,w/a,r/a,k/a,i,i,N,n/a:,b/u:,ts/u,k/a,r/a,n/a,r/u
030	防氷ブーツは表面に張られたゴム製の薄い膜でできている	ボーヒョウブーツワヒョーメンニハラレタゴムセイノウスイマクデデキテイル	b/o:,hy/o,u,b/u:,ts/u,w/a,hy/o:,m/e,N,n/i,h/a,r/a,r/e,t/a,g/o,m/u,s/e,i,n/o,u,s/u,i,m/a,k/u,d/e,d/e,k/i,t/e,i,r/u
031	後者の代表がウェッジウッドのジャスパーウェアである	コーシャノダイヒョーガウェッジウッドノジャスパーウェアデアル	k/o:,sh/a,n/o,d/a,i,hy/o:,g/a,w/e,q,j/i,u,q,d/o,n/o,j/a,s/u,p/a:,w/e,a,d/e,a,r/u
032	キー局が発信するニュースネットワーク名を冠したタイトルのニュース番組の中ではレギュラー放送が最も多い	キーキョクガハッシンスルニュースネットワークメイヲカンシタタイトルノニュースバングミノナカデワレギュラーホーソーガモットモオーイ	k/i:,ky/o,k/u,g/a,h/a,q,sh/i,N,s/u,r/u,ny/u:,s/u,n/e,q,t/o,w/a:,k/u,m/e,i,o,k/a,N,sh/i,t/a,t/a,i,t/o,r/u,n/o,ny/u:,s/u,b/a,N,g/u,m/i,n/o,n/a,k/a,d/e,w/a,r/e,gy/u,r/a:,h/o:,s/o:,g/a,m/o,q,t/o,m/o,o:,i
033	芸能プロダクションアミューズのグループ企業	ゲイノープロダクションアミューズノグループキギョー	g/e,i,n/o:,p/u,r/o,d/a,k/u,sh/o,N,a,my/u:,z/u,n/o,g/u,r/u:,p/u,k/i,gy/o:
034	長母音を省略してエリュシオンとも表記される	チョーボインヲショーリャクシテエリュシオントモヒョーキサレル	ch/o:,b/o,i,N,o,sh/o:,ry/a,k/u,sh/i,t/e,e,ry/u,sh/i,o,N,t/o,m/o,hy/o:,k/i,s/a,r/e,r/u
035	森永のおいしい牛乳は濃い青色に牛乳瓶をあしらったデザインのパック牛乳である	モリナガノオイシーギュウニューワコイアオイロニギューニュービンヲアシラッタデザインノパックギューニューデアル	m/o,r/i,n/a,g/a,n/o,o,i,sh/i:,gy/u,u,ny/u:,w/a,k/o,i,a,o,i,r/o,n/i,gy/u:,ny/u:,b/i,N,o,a,sh/i,r/a,q,t/a,d/e,z/a,i,N,n/o,p/a,q,k/u,gy/u:,ny/u:,d/e,a,r/u
036	番組冒頭を東京ムービー製作のアニメーションで表現する点も共通していた	バングミボウトーヲトーキョームービーセイサクノアニメーションデヒョーゲンスルテンモキョーツーシテイタ	b/a,N,g/u,m/i,b/o,u,t/o:,o,t/o:,ky/o:,m/u:,b/i:,s/e,i,s/a,k/u,n/o,a,n/i,m/e:,sh/o,N,d/e,hy/o:,g/e,N,s/u,r/u,t/e,N,m/o,ky/o:,ts/u:,sh/i,t/e,i,t/a
037	コミューンはセーヌ川とエソンヌ川の合流地点となっている	コミューンワセーヌガワトエソンヌガワノゴーリューチテントナッテイル	k/o,my/u:,N,w/a,s/e:,n/u,g/a,w/a,t/o,e,s/o,N,n/u,g/a,w/a,n/o,g/o:,ry/u:,ch/i,t/e,N,t/o,n/a,q,t/e,i,r/u
038	同時に福井ミラクルエレファンツにコーチ兼任で入団することが発表された	ドージニフクイミラクルエレファンツニコーチケンニンデニューダンスルコトガハッピョーサレタ	d/o:,j/i,n/i,f/u,k/u,i,m/i,r/a,k/u,r/u,e,r/e,f/a,N,ts/u,n/i,k/o:,ch/i,k/e,N,n/i,N,d/e,ny/u:,d/a,N,s/u,r/u,k/o,t/o,g/a,h/a,q,py/o:,s/a,r/e,t/a
039	夫である小室が救急車を呼び都内病院に緊急搬送される	オットデアルコムロガキュウキュウシャヲヨビトナイビョーインニキンキューハンソーサレル	o,q,t/o,d/e,a,r/u,k/o,m/u,r/o,g/a,ky/u,u,ky/u,u,sh/a,o,y/o,b/i,t/o,n/a,i,by/o:,i,N,n/i,k/i,N,ky/u:,h/a,N,s/o:,s/a,r/e,r/u
040	ギレスピーはマッギーを通じてイネスと知り合った	ギレスピーワマッギーヲツージテイネストシリアッタ	g/i,r/e,s/u,p/i:,w/a,m/a,q,g/i:,o,ts/u:,j/i,t/e,i,n/e,s/u,t/o,sh/i,r/i,a,q,t/a
041	フォンテーヌブロー様式では寓意的な絵が漆喰のモールドに使われている	フォンテーヌブローヨーシキデワグーイテキナエガシックイノモールドニツカワレテイル	f/o,N,t/e:,n/u,b/u,r/o:,y/o:,sh/i,k/i,d/e,w/a,g/u:,i,t/e,k/i,n/a,e,g/a,sh/i,q,k/u,i,n/o,m/o:,r/u,d/o,n/i,ts/u,k/a,w/a,r/e,t/e,i,r/u
042	祭神はヴィシュヌ派の聖人スワーミーナーラーヤン	サイジンワヴィシュヌハノセイジンスワーミーナーラーヤン	s/a,i,j/i,N,w/a,b/i,sh/u,n/u,h/a,n/o,s/e,i,j/i,N,s/u,w/a:,m/i:,n/a:,r/a:,y/a,N
043	ハーデースがペルセポネーに恋をしたのはアプロディーテーの策略であるとされている	ハーデースガペルセポネーニコイヲシタノワアプロディーテーノサクリャクデアルトサレテイル	h/a:,d/e:,s/u,g/a,p/e,r/u,s/e,p/o,n/e:,n/i,k/o,i,o,sh/i,t/a,n/o,w/a,a,p/u,r/o,d/i:,t/e:,n/o,s/a,k/u,ry/a,k/u,d/e,a,r/u,t/o,s/a,r/e,t/e,i,r/u
044	クウェーンバーンチャーンは小さなコミュニティーで農業や商業を中心に成り立っていたと考えられている	クウェーンバーンチャーンワチーサナコミュニティーデノーギョーヤショーギョーヲチューシンニナリタッテイタトカンガエラレテイル	k/u,w/e:,N,b/a:,N,ch/a:,N,w/a,ch/i:,s/a,n/a,k/o,my/u,n/i,t/i:,d/e,n/o:,gy/o:,y/a,sh/o:,gy/o:,o,ch/u:,sh/i,N,n/i,n/a,r/i,t/a,q,t/e,i,t/a,t/o,k/a,N,g/a,e,r/a,r/e,t/e,i,r/u
045	ヴェーザー自転車道やミューレンルートに従ったサイクリングツアーはペータースハーゲンを経由する	ヴェーザージテンシャドーヤミューレンルートニシタガッタサイクリングツアーワペータースハーゲンヲケイユスル	b/e:,z/a:,j/i,t/e,N,sh/a,d/o:,y/a,my/u:,r/e,N,r/u:,t/o,n/i,sh/i,t/a,g/a,q,t/a,s/a,i,k/u,r/i,N,g/u,ts/u,a:,w/a,p/e:,t/a:,s/u,h/a:,g/e,N,o,k/e,i,y/u,s/u,r/u
046	フォーミュラカーは通常オープンホイールでシングルシーターである	フォーミュラカーワツージョーオープンホイールデシングルシーターデアル	f/o:,my/u,r/a,k/a:,w/a,ts/u:,j/o:,o:,p/u,N,h/o,i:,r/u,d/e,sh/i,N,g/u,r/u,sh/i:,t/a:,d/e,a,r/u
047	同日朝に大阪難波で出発セレモニーが開催され営業運転に充当された	ドージツアサニオーサカナンバデシュッパツセレモニーガカイサイサレエイギョーウンテンニジュートーサレタ	d/o:,j/i,ts/u,a,s/a,n/i,o:,s/a,k/a,n/a,N,b/a,d/e,sh/u,q,p/a,ts/u,s/e,r/e,m/o,n/i:,g/a,k/a,i,s/a,i,s/a,r/e,e,i,gy/o:,u,N,t/e,N,n/i,j/u:,t/o:,s/a,r/e,t/a
048	そしてインデペンデント紙の読者投票で選ぶプレミアリーグ最優秀ゴールキーパーに選ばれた	ソシテインデペンデントシノドクシャトーヒョーデエラブプレミアリーグサイユーシューゴールキーパーニエラバレタ	s/o,sh/i,t/e,i,N,d/e,p/e,N,d/e,N,t/o,sh/i,n/o,d/o,k/u,sh/a,t/o:,hy/o:,d/e,e,r/a,b/u,p/u,r/e,m/i,a,r/i:,g/u,s/a,i,y/u:,sh/u:,g/o:,r/u,k/i:,p/a:,n/i,e,r/a,b/a,r/e,t/a
049	プレイヤーキャラクターは宮殿を占拠した邪悪なクリーチャーに遭遇する	プレイヤーキャラクターワキューデンヲセンキョシタジャアクナクリーチャーニソーグースル	p/u,r/e,i,y/a:,ky/a,r/a,k/u,t/a:,w/a,ky/u:,d/e,N,o,s/e,N,ky/o,sh/i,t/a,j/a,a,k/u,n/a,k/u,r/i:,ch/a:,n/i,s/o:,g/u:,s/u,r/u
050	フィールドマーケティングは歴史的には一方通行のコミュニケーションツールとして考えられてきた	フィールドマーケティングワレキシテキニワイッポーツウコーノコミュニケーションツールトシテカンガエラレテキタ	f/i:,r/u,d/o,m/a:,k/e,t/i,N,g/u,w/a,r/e,k/i,sh/i,t/e,k/i,n/i,w/a,i,q,p/o:,ts/u,u,k/o:,n/o,k/o,my/u,n/i,k/e:,sh/o,N,ts/u:,r/u,t/o,sh/i,t/e,k/a,N,g/a,e,r/a,r/e,t/e,k/i,t/a
051	デビュー後の数年間はベビーフェイスとして本名で活動	デビューゴノスーネンカンワベビーフェイストシテホンミョーデカツドー	d/e,by/u:,g/o,n/o,s/u:,n/e,N,k/a,N,w/a,b/e,b/i:,f/e,i,s/u,t/o,sh/i,t/e,h/o,N,my/o:,d/e,k/a,ts/u,d/o:
052	学校や病院などの給食業務で栄養素を計算する上で重要な資料のひとつである	ガッコーヤビョーインナドノキューショクギョームデエイヨーソヲケイサンスルウエデジューヨーナシリョーノヒトツデアル	g/a,q,k/o:,y/a,by/o:,i,N,n/a,d/o,n/o,ky/u:,sh/o,k/u,gy/o:,m/u,d/e,e,i,y/o:,s/o,o,k/e,i,s/a,N,s/u,r/u,u,e,d/e,j/u:,y/o:,n/a,sh/i,ry/o:,n/o,h/i,t/o,ts/u,d/e,a,r/u
053	当時あやしいわーるどに常駐していた擬古猫が空白にて発表	トージアヤシーワールドニジョーチューシテイタギコネコガクーハクニテハッピョー	t/o:,j/i,a,y/a,sh/i:,w/a:,r/u,d/o,n/i,j/o:,ch/u:,sh/i,t/e,i,t/a,g/i,k/o,n/e,k/o,g/a,k/u:,h/a,k/u,n/i,t/e,h/a,q,py/o:
054	裕福なニューヨーカー達はグレーヴセンド競馬場やシープシェッドベイ競馬場などに集い海沿いの高級レストランやホテルを利用した	ユーフクナニューヨーカータチワグレーヴセンドケイバジョーヤシープシェッドベイケイバジョーナドニツドイウミゾイノコーキューレストランヤホテルヲリヨーシタ	y/u:,f/u,k/u,n/a,ny/u:,y/o:,k/a:,t/a,ch/i,w/a,g/u,r/e:,b/u,s/e,N,d/o,k/e,i,b/a,j/o:,y/a,sh/i:,p/u,sh/e,q,d/o,b/e,i,k/e,i,b/a,j/o:,n/a,d/o,n/i,ts/u,d/o,i,u,m/i,z/o,i,n/o,k/o:,ky/u:,r/e,s/u,t/o,r/a,N,y/a,h/o,t/e,r/u,o,r/i,y/o:,sh/i,t/a
055	ウォリアーズミックスマーシャルアーツアカデミー所属	ウォリアーズミックスマーシャルアーツアカデミーショゾク	w/o,r/i,a:,z/u,m/i,q,k/u,s/u,m/a:,sh/a,r/u,a:,ts/u,a,k/a,d/e,m/i:,sh/o,z/o,k/u
056	ところがエリュシクトーンはニュムペーの制止も聞かずにデーメーテールの樫を切り倒した	トコロガエリュシクトーンワニュムペーノセイシモキカズニデーメーテールノカシヲキリタオシタ	t/o,k/o,r/o,g/a,e,ry/u,sh/i,k/u,t/o:,N,w/a,ny/u,m/u,p/e:,n/o,s/e,i,sh/i,m/o,k/i,k/a,z/u,n/i,d/e:,m/e:,t/e:,r/u,n/o,k/a,sh/i,o,k/i,r/i,t/a,o,sh/i,t/a
057	このジェシー役でステイモスはエミー賞にノミネートされたこともある	コノジェシーヤクデステイモスワエミーショーニノミネートサレタコトモアル	k/o,n/o,j/e,sh/i:,y/a,k/u,d/e,s/u,t/e,i,m/o,s/u,w/a,e,m/i:,sh/o:,n/i,n/o,m/i,n/e:,t/o,s/a,r/e,t/a,k/o,t/o,m/o,a,r/u
058	スウェーデン移民の両親の許にマサチューセッツ州ケンブリッジにて生まれる	スウェーデンイミンノリョーシンノモトニマサチューセッツシューケンブリッジニテウマレル	s/u,w/e:,d/e,N,i,m/i,N,n/o,ry/o:,sh/i,N,n/o,m/o,t/o,n/i,m/a,s/a,ch/u:,s/e,q,ts/u,sh/u:,k/e,N,b/u,r/i,q,j/i,n/i,t/e,u,m/a,r/e,r/u
059	球宴のファン投票でも人気が偶像化していた長嶋茂雄に肉薄する	キューエンノファントウヒョーデモニンキガグーゾーカシテイタナガシマシゲオニニクハクスル	ky/u:,e,N,n/o,f/a,N,t/o,u,hy/o:,d/e,m/o,n/i,N,k/i,g/a,g/u:,z/o:,k/a,sh/i,t/e,i,t/a,n/a,g/a,sh/i,m/a,sh/i,g/e,o,n/i,n/i,k/u,h/a,k/u,s/u,r/u
060	母はピーターマリッツバーグの精神病院に入院しているときにベッシーを産む	ハハワピーターマリッツバーグノセイシンビョーインニニューインシテイルトキニベッシーヲウム	h/a,h/a,w/a,p/i:,t/a:,m/a,r/i,q,ts/u,b/a:,g/u,n/o,s/e,i,sh/i,N,by/o:,i,N,n/i,ny/u:,i,N,sh/i,t/e,i,r/u,t/o,k/i,n/i,b/e,q,sh/i:,o,u,m/u
061	ポイントガードからスモールフォワードまでこなせる総合力が高いユーティリティープレーヤーである	ポイントガードカラスモールフォワードマデコナセルソーゴーリョクガタカイユーティリティープレーヤーデアル	p/o,i,N,t/o,g/a:,d/o,k/a,r/a,s/u,m/o:,r/u,f/o,w/a:,d/o,m/a,d/e,k/o,n/a,s/e,r/u,s/o:,g/o:,ry/o,k/u,g/a,t/a,k/a,i,y/u:,t/i,r/i,t/i:,p/u,r/e:,y/a:,d/e,a,r/u
062	グレッグはミシシッピ州アバディーンにあるオッドフェローズ墓地に埋葬されることになった	グレッグワミシシッピシューアバディーンニアルオッドフェローズボチニマイソーサレルコトニナッタ	g/u,r/e,q,g/u,w/a,m/i,sh/i,sh/i,q,p/i,sh/u:,a,b/a,d/i:,N,n/i,a,r/u,o,q,d/o,f/e,r/o:,z/u,b/o,ch/i,n/i,m/a,i,s/o:,s/a,r/e,r/u,k/o,t/o,n/i,n/a,q,t/a
063	大当り終了後はグラディエーターチャンスに突入する	オーアタリシューリョーゴワグラディエーターチャンスニトツニュースル	o:,a,t/a,r/i,sh/u:,ry/o:,g/o,w/a,g/u,r/a,d/i,e:,t/a:,ch/a,N,s/u,n/i,t/o,ts/u,ny/u:,s/u,r/u
064	この菌による病気は灰色かび病と名づけられているものが多い	コノキンニヨルビョーキワハイーロカビビョートナズケラレテイルモノガオーイ	k/o,n/o,k/i,N,n/i,y/o,r/u,by/o:,k/i,w/a,h/a,i:,r/o,k/a,b/i,by/o:,t/o,n/a,z/u,k/e,r/a,r/e,t/e,i,r/u,m/o,n/o,g/a,o:,i
